date,weighted,close,high,low,open,volume
2/26/2020 21:02,206.64,206.64,213.29,197.35,205.5,975381775.9
2/27/2020 21:02,206.02,206.02,207.83,199.63,206.64,865578634.8
2/28/2020 21:02,196.89,196.89,205.22,196.89,206.02,1036695152
2/29/2020 21:02,196.86,196.86,200.87,193.85,196.89,802118347.5
3/1/2020 21:03,208.41,208.41,210.49,203.61,196.86,862750036.7
3/2/2020 21:03,200.63,200.63,205.26,199.69,208.41,923513484.5
3/3/2020 21:03,201.8,201.8,204.16,199.68,200.63,701859015
3/4/2020 21:03,203.95,203.95,208.24,202.5,201.8,711649495.4
3/5/2020 21:03,217.79,217.79,217.87,204.64,203.95,841108618.4
3/6/2020 21:03,210.8,210.8,216.96,210.32,217.79,825295744.2
3/7/2020 21:03,175.46,175.46,188.91,173.69,210.8,776101952.1
3/8/2020 21:03,177.9,177.9,182.08,171.98,175.46,790724550.2
3/9/2020 21:03,177.29,177.29,179.38,174.98,177.9,795580464.5
3/10/2020 21:03,172.87,172.87,180.27,168.64,177.29,765288450.8
3/11/2020 21:03,98.84,98.84,108.32,94.34,172.87,776524313.8
3/12/2020 21:03,122.71,122.71,127.41,113.61,98.84,1347402700
3/13/2020 21:03,111.02,111.02,114.49,110.13,122.71,342121201
3/14/2020 21:03,111.29,111.29,114.86,107.34,111.02,407415290.7
3/15/2020 21:03,99.85,99.85,105.41,98.63,111.29,594421222.5
3/16/2020 21:03,106.16,106.16,109.82,105.19,99.85,471403725.2
3/17/2020 21:03,108.5,108.5,109.14,107.01,106.16,382736866.2
3/18/2020 21:03,128.89,128.89,130.64,125.22,108.5,506470417.3
3/19/2020 21:03,125.01,125.01,132.11,119.54,128.89,519263823.1
3/20/2020 21:03,124.76,124.76,125.58,122.9,125.01,337203874.1
3/21/2020 21:03,114.97,114.97,117.71,113.71,124.76,290751181.2
3/22/2020 21:03,127.08,127.08,128.65,123.76,114.97,218293414.7
3/23/2020 21:03,128.91,128.91,132.55,128.4,127.08,218096596.3
3/24/2020 21:03,125.38,125.38,129.81,124.89,128.91,161764318
3/25/2020 21:03,125.91,125.91,126.46,123.77,125.38,147180198.2
3/26/2020 21:03,118.55,118.55,119.12,116.88,125.91,139214433.3
3/27/2020 21:03,118.13,118.13,119.32,115.21,118.55,147462232
3/28/2020 21:03,111.92,111.92,112.45,110.33,118.13,100959134.5
3/29/2020 21:03,120.01,120.01,123.72,118.84,111.92,140471627.6
3/30/2020 21:03,120.95,120.95,121.71,119.2,120.01,106333958.3
3/31/2020 21:03,124.14,124.14,128.58,123.96,120.95,178941717.5
4/1/2020 21:04,130.21,130.21,132.34,127.77,124.14,236981444.1
4/2/2020 21:04,131.07,131.07,131.7,128.7,130.21,185311432.4
4/3/2020 21:04,133.81,133.81,135.66,132.41,131.07,140695013
4/4/2020 21:04,132.36,132.36,133.42,131.54,133.81,99478748.16
4/5/2020 21:04,159.04,159.04,159.72,142.92,132.36,412135905.8
4/6/2020 21:04,151.22,151.22,157.63,150.43,159.04,405490332.4
4/7/2020 21:04,159.54,159.54,159.61,154.59,151.22,266111114.4
4/8/2020 21:04,155.75,155.75,157.69,155.29,159.54,195738421.8
4/9/2020 21:04,144.78,144.78,146.85,141.69,155.75,303980401.5
4/10/2020 21:04,145.27,145.27,146.72,143.5,144.78,187466131.9
4/11/2020 21:04,145.43,145.43,146.88,144.41,145.27,174068360.7
4/12/2020 21:04,143.65,143.65,145.22,142.08,145.43,216616073.4
4/13/2020 21:04,144.59,144.59,145.9,143.08,143.65,163014807.7
4/14/2020 21:04,140.41,140.41,142.36,139.13,144.59,181423883.3
4/15/2020 21:04,158.82,158.82,161.64,150.18,140.41,460948155.8
4/16/2020 21:04,157.3,157.3,158.53,154.83,158.82,245237405.2
4/17/2020 21:04,172.81,172.81,173.82,162.19,157.3,380408782.6
4/18/2020 21:04,166.03,166.03,170.62,164.19,172.81,320309229.7
4/19/2020 21:04,157.29,157.29,163.03,155.84,166.03,371609722
4/20/2020 21:04,157.73,157.73,159.88,156.91,157.29,240767409.4
4/21/2020 21:04,169.11,169.11,169.63,164.16,157.73,264422530.8
4/22/2020 21:04,171.9,171.9,180.28,170.93,169.11,344870449.3
4/23/2020 21:04,173.48,173.48,174.25,171.96,171.9,222038833.9
4/24/2020 21:04,180,180,181.11,174.2,173.48,280805971.6
4/25/2020 21:04,182.79,182.79,184.86,181.73,180,231845665.1
4/26/2020 21:04,181.91,181.91,184.86,179.46,182.79,238630650.8
4/27/2020 21:04,182.11,182.11,182.9,180.17,181.91,191225639.1
4/28/2020 21:04,198.27,198.27,209.82,195.84,182.11,442833048.6
4/29/2020 21:04,188.86,188.86,194.79,186.65,198.27,430192312.2
4/30/2020 21:04,193.12,193.12,195.78,191.84,188.86,310892952.4
5/1/2020 21:05,194.94,194.94,197.55,194.45,193.12,163151550.3
5/2/2020 21:05,191.87,191.87,195.13,190.82,194.94,246592845.3
5/3/2020 21:05,189.85,189.85,193.11,185.69,191.87,292206752.4
5/4/2020 21:05,189.61,189.61,195.36,189.53,189.85,186163345.4
5/5/2020 21:05,184.57,184.57,195.77,184.31,189.61,316896452.8
5/6/2020 21:05,195.76,195.76,204.98,194.28,184.57,543085607.9
5/7/2020 21:05,195.19,195.19,196.09,191.84,195.76,373073100.7
5/8/2020 21:05,194.15,194.15,194.23,189.47,195.19,351118920.2
5/9/2020 21:05,173.6,173.6,184.18,172.79,194.15,462123402.9
5/10/2020 21:05,172.09,172.09,172.73,166.62,173.6,379131175.5
5/11/2020 21:05,175.49,175.49,177.6,173.86,172.09,234072395.6
5/12/2020 21:05,184.81,184.81,187.05,181.97,175.49,229864725.5
5/13/2020 21:05,188.05,188.05,194.3,185.6,184.81,367922802.8
5/14/2020 21:05,179.96,179.96,182.63,177.98,188.05,280711175.8
5/15/2020 21:05,185.55,185.55,186.77,181.21,179.96,226891800.8
5/16/2020 21:05,190.97,190.97,192.13,187.22,185.55,197826875
5/17/2020 21:05,196.74,196.74,198.35,189.97,190.97,277734122.8
5/18/2020 21:05,196.56,196.56,198.35,195.3,196.74,196035317.6
5/19/2020 21:05,191.4,191.4,192.01,188.63,196.56,171387406
5/20/2020 21:05,181.55,181.55,183.87,180.14,191.4,208003478.5
5/21/2020 21:05,190.31,190.31,191.15,183.74,181.55,187127037.9
5/22/2020 21:05,189.66,189.66,192.02,189.24,190.31,145187598
5/23/2020 21:05,183.63,183.63,185.31,180.19,189.66,177443840.4
5/24/2020 21:05,187.38,187.38,189.75,186.89,183.63,184456580
5/25/2020 21:05,183.3,183.3,185.72,182.34,187.38,170936541.4
5/26/2020 21:05,189.24,189.24,192.58,187.56,183.3,151525777
5/27/2020 21:05,198.58,198.58,198.58,191.16,189.24,199381705
5/28/2020 21:05,199,199,200.19,195.52,198.58,206574584.3
5/29/2020 21:05,218.93,218.93,222.85,203.33,199,360598876.5
5/30/2020 21:05,208.59,208.59,216.17,208.25,218.93,253619037.7
5/31/2020 21:05,221.75,221.75,230.04,220.47,208.59,327485534.5
6/1/2020 21:06,213.04,213.04,213.81,206.22,221.75,322621688.8
6/2/2020 21:06,217.82,217.82,218.25,213.25,213.04,139851220.7
6/3/2020 21:06,214.89,214.89,220.34,211.87,217.82,130403054.6
6/4/2020 21:06,213.16,213.16,214.7,211.37,214.89,97364539.27
6/5/2020 21:06,214.72,214.72,216,213.6,213.16,80169146.12
6/6/2020 21:06,216.4,216.4,217.09,213.3,214.72,111244078.3
6/7/2020 21:06,217.88,217.88,218.4,215.71,216.4,94329505.38
6/8/2020 21:06,215.44,215.44,218.46,214.84,217.88,91074941.16
6/9/2020 21:06,218.29,218.29,218.9,216.2,215.44,95083764.52
6/10/2020 21:06,204.25,204.25,206.97,202.69,218.29,137049403.4
6/11/2020 21:06,211.18,211.18,211.93,207.73,204.25,93125054.33
6/12/2020 21:06,211.39,211.39,212.49,210.38,211.18,60891928.15
6/13/2020 21:06,205.81,205.81,208.96,205.81,211.39,79917207.14
6/14/2020 21:06,203.79,203.79,206.62,201.8,205.81,156298163.7
6/15/2020 21:06,208.87,208.87,209.21,205.57,203.79,112380268.3
6/16/2020 21:06,208.07,208.07,209.17,207.06,208.87,154821557.6
6/17/2020 21:06,206.38,206.38,207.97,204.88,208.07,244254487.7
6/18/2020 21:06,204.75,204.75,205.75,203.17,206.38,113624208.9
6/19/2020 21:06,204.61,204.61,206.79,204.11,204.75,91044532.64
6/20/2020 21:06,203.77,203.77,204.77,202.94,204.61,81105005.91
6/21/2020 21:06,215.51,215.51,219.89,210.45,203.77,198556401.1
6/22/2020 21:06,214.99,214.99,215.59,213.03,215.51,136272749.3
6/23/2020 21:06,208.69,208.69,213.41,207.29,214.99,204263282.3
